date;direction;internal;calls_count;duration_per_call;total_duration_per_call
2019-10-17 21:00:00;out;False;3;35,333333333333336;40,666666666666664
2019-10-17 21:00:00;out;False;7;0,0;24,571428571428573
2019-08-16 21:00:00;in;False;1;22,0;29,0
2019-08-19 21:00:00;in;False;1;28,0;40,0
2019-08-29 21:00:00;in;False;1;2,0;7,0
2019-08-29 21:00:00;in;False;2;14,0;49,0
2019-08-29 21:00:00;out;False;1;0,0;5,0
2019-09-01 21:00:00;in;False;1;275,0;286,0
2019-09-02 21:00:00;in;False;1;29,0;46,0
2019-09-03 21:00:00;in;False;1;57,0;70,0
2019-09-08 21:00:00;in;False;1;130,0;143,0
2019-09-09 21:00:00;in;False;1;65,0;81,0
2019-09-10 21:00:00;in;False;1;25,0;42,0
2019-09-15 21:00:00;out;False;1;304,0;330,0
2019-09-16 21:00:00;in;False;2;110,5;126,5
2019-09-17 21:00:00;out;False;1;110,0;128,0
2019-09-19 21:00:00;out;False;1;0,0;67,0
2019-09-20 21:00:00;out;False;1;28,0;53,0
2019-09-22 21:00:00;in;False;2;292,5;299,5
2019-09-22 21:00:00;out;False;4;0,0;50,75
2019-09-22 21:00:00;out;False;4;230,25;252,25
2019-09-23 21:00:00;in;False;2;322,5;334,0
2019-09-23 21:00:00;out;False;1;0,0;21,0
2019-09-23 21:00:00;out;False;1;150,0;171,0
2019-09-24 21:00:00;in;False;1;15,0;24,0
2019-09-24 21:00:00;out;False;1;21,0;39,0
2019-09-24 21:00:00;out;False;3;0,0;19,333333333333332
2019-09-25 21:00:00;out;False;1;0,0;43,0
2019-09-26 21:00:00;out;False;5;229,2;257,0
2019-09-29 21:00:00;in;False;1;154,0;167,0
2019-09-30 21:00:00;out;False;2;0,0;44,5
2019-09-30 21:00:00;in;False;1;495,0;508,0
2019-10-01 21:00:00;in;False;2;290,0;296,5
2019-10-01 21:00:00;out;False;2;0,0;62,5
2019-10-01 21:00:00;out;False;3;320,3333333333333;334,6666666666667
2019-10-02 21:00:00;out;False;2;0,0;45,5
2019-10-02 21:00:00;in;False;3;139,0;151,0
2019-10-02 21:00:00;out;False;1;19,0;36,0
2019-10-03 21:00:00;in;False;5;124,4;160,0
2019-10-06 21:00:00;in;False;2;247,5;264,5
2019-10-06 21:00:00;out;True;2;0,0;2,5
2019-10-06 21:00:00;out;True;1;7,0;13,0
2019-10-06 21:00:00;out;False;1;0,0;27,0
2019-10-07 21:00:00;out;False;2;0,0;36,5
2019-10-07 21:00:00;out;False;4;167,0;182,25
2019-10-07 21:00:00;out;False;3;0,0;62,333333333333336
2019-10-07 21:00:00;in;False;1;95,0;108,0
2019-10-08 21:00:00;in;False;3;118,33333333333333;128,33333333333334
2019-10-08 21:00:00;out;False;4;111,0;124,25
2019-10-08 21:00:00;out;False;2;45,5;55,5
2019-10-08 21:00:00;out;False;4;0,0;29,0
2019-10-08 21:00:00;in;False;2;529,0;537,5
2019-10-09 21:00:00;in;False;3;137,66666666666666;145,66666666666666
2019-10-09 21:00:00;out;False;1;411,0;433,0
2019-10-09 21:00:00;out;False;7;141,85714285714286;157,71428571428572
2019-10-09 21:00:00;out;False;3;0,0;19,0
2019-10-09 21:00:00;out;False;6;0,0;25,833333333333332
2019-10-09 21:00:00;out;False;10;67,4;76,6
2019-10-09 21:00:00;in;False;2;365,0;370,0
2019-10-09 21:00:00;in;False;2;319,0;349,0
2019-10-10 21:00:00;in;False;1;87,0;107,0
2019-10-10 21:00:00;in;False;2;181,0;187,0
2019-10-10 21:00:00;out;False;5;0,0;32,4
2019-10-10 21:00:00;out;False;7;0,0;16,0
2019-10-10 21:00:00;out;False;12;92,75;105,58333333333333
2019-10-10 21:00:00;in;False;3;128,33333333333334;136,0
2019-10-10 21:00:00;out;False;10;136,4;151,9
2019-10-13 21:00:00;in;False;2;63,5;74,5
2019-10-13 21:00:00;out;False;9;135,77777777777777;153,88888888888889
2019-10-13 21:00:00;out;False;8;0,0;39,25
2019-10-13 21:00:00;in;False;2;60,5;66,5
2019-10-13 21:00:00;out;False;3;200,33333333333334;211,66666666666666
2019-10-13 21:00:00;in;False;4;119,25;126,25
2019-10-14 21:00:00;out;False;4;0,0;34,5
2019-10-14 21:00:00;in;False;1;74,0;114,0
2019-10-14 21:00:00;out;False;11;82,54545454545455;103,72727272727273
2019-10-14 21:00:00;out;False;2;15,5;31,0
2019-10-14 21:00:00;out;False;3;0,0;26,666666666666668
2019-10-14 21:00:00;in;False;1;40,0;45,0
2019-10-14 21:00:00;in;False;6;139,5;146,33333333333334
2019-10-15 21:00:00;out;False;10;99,8;114,5
2019-10-15 21:00:00;out;False;9;111,0;125,33333333333333
2019-10-15 21:00:00;in;False;5;168,8;177,6
2019-10-15 21:00:00;out;False;3;0,0;38,666666666666664
2019-10-15 21:00:00;out;False;6;0,0;36,833333333333336
2019-10-15 21:00:00;in;False;3;165,33333333333334;171,0
2019-10-16 21:00:00;in;False;4;289,0;295,75
2019-10-16 21:00:00;out;False;5;53,0;68,4
2019-10-16 21:00:00;out;False;2;208,5;220,5
2019-10-16 21:00:00;in;False;4;74,75;81,25
2019-10-16 21:00:00;out;False;2;0,0;9,0
2019-10-17 21:00:00;out;False;1;0,0;26,0
2019-10-17 21:00:00;out;False;9;0,0;35,0
2019-10-17 21:00:00;in;False;1;208,0;215,0
2019-10-17 21:00:00;out;False;10;108,3;120,3
2019-10-17 21:00:00;in;False;3;147,33333333333334;152,33333333333334
2019-10-17 21:00:00;out;False;4;125,25;136,0
2019-10-20 21:00:00;out;False;1;46,0;59,0
2019-10-20 21:00:00;in;False;2;50,0;55,5
2019-10-20 21:00:00;in;False;2;78,5;95,5
2019-10-20 21:00:00;out;False;2;0,0;29,5
2019-10-20 21:00:00;out;False;3;41,333333333333336;55,666666666666664
2019-10-21 21:00:00;in;False;5;76,8;82,0
2019-10-21 21:00:00;out;False;9;0,0;15,444444444444445
2019-10-21 21:00:00;in;False;3;137,33333333333334;142,0
2019-10-21 21:00:00;in;False;1;59,0;72,0
2019-10-21 21:00:00;out;False;6;0,0;43,833333333333336
2019-10-21 21:00:00;out;False;2;84,5;108,0
2019-10-21 21:00:00;out;False;14;90,85714285714286;107,85714285714286
2019-10-22 21:00:00;out;False;2;0,0;13,0
2019-10-22 21:00:00;out;False;1;28,0;44,0
2019-10-22 21:00:00;out;False;6;0,0;37,0
2019-10-22 21:00:00;in;False;3;206,66666666666666;218,66666666666666
2019-10-22 21:00:00;out;False;16;121,0;135,3125
2019-10-22 21:00:00;in;False;8;192,375;197,875
2019-10-23 21:00:00;out;False;7;0,0;23,0
2019-10-23 21:00:00;in;False;8;159,875;166,625
2019-10-23 21:00:00;out;False;14;131,71428571428572;142,21428571428572
2019-10-23 21:00:00;in;False;3;46,0;52,0
2019-10-23 21:00:00;out;False;5;47,6;63,6
2019-10-23 21:00:00;out;False;7;0,0;16,714285714285715
2019-10-24 21:00:00;in;False;5;51,4;57,6
2019-10-24 21:00:00;in;False;6;298,6666666666667;304,1666666666667
2019-10-24 21:00:00;out;False;4;0,0;9,75
2019-10-24 21:00:00;out;True;1;726,0;743,0
2019-10-24 21:00:00;out;True;1;0,0;0,0
2019-10-24 21:00:00;out;False;11;0,0;34,18181818181818
2019-10-24 21:00:00;out;False;14;152,64285714285714;162,57142857142858
2019-10-24 21:00:00;out;False;10;44,9;58,2
2019-10-26 21:00:00;out;False;1;0,0;16,0
2019-10-26 21:00:00;in;False;1;184,0;200,0
2019-10-27 21:00:00;out;False;1;212,0;274,0
2019-10-27 21:00:00;out;False;6;97,66666666666667;109,33333333333333
2019-10-27 21:00:00;in;False;6;49,0;54,666666666666664
2019-10-27 21:00:00;in;False;2;162,0;207,5
2019-10-28 21:00:00;in;False;4;293,75;298,75
2019-10-28 21:00:00;in;False;5;249,0;254,4
2019-10-28 21:00:00;in;False;1;139,0;170,0
2019-10-28 21:00:00;out;False;7;66,28571428571429;82,42857142857143
2019-10-28 21:00:00;out;False;8;60,375;70,25
2019-10-28 21:00:00;out;False;7;0,0;30,428571428571427
2019-10-29 21:00:00;out;False;4;0,0;33,25
2019-10-29 21:00:00;out;False;7;127,42857142857143;145,14285714285714
2019-10-29 21:00:00;in;False;4;131,0;136,75
2019-10-29 21:00:00;out;False;3;0,0;30,0
2019-10-29 21:00:00;out;False;7;176,28571428571428;187,85714285714286
2019-10-30 21:00:00;out;False;6;0,0;20,666666666666668
2019-10-30 21:00:00;out;False;8;0,0;23,25
2019-10-30 21:00:00;out;False;12;131,5;142,91666666666666
2019-10-30 21:00:00;out;False;9;67,55555555555556;84,88888888888889
2019-10-30 21:00:00;in;False;7;187,57142857142858;196,14285714285714
2019-10-30 21:00:00;in;False;8;256,625;263,375
2019-10-31 21:00:00;out;False;9;0,0;13,666666666666666
2019-10-31 21:00:00;out;True;1;0,0;0,0
